tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
AAPT Championships - Adelaide ,2003-01-01 ,Franco Squillari ,Wayne Ferreira ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
AAPT Championships - Adelaide ,2003-01-01 ,Richard Krajicek ,Scott Draper ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
AAPT Championships - Adelaide ,2003-01-01 ,Mariano Zabaleta ,Martin Verkerk ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
AAPT Championships - Adelaide ,2003-01-01 ,Antony Dupuis ,Max Mirnyi ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
AAPT Championships - Adelaide ,2003-01-01 ,Adrian Voinea ,Alex Kim ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
AAPT Championships - Adelaide ,2003-01-01 ,Nikolay Davydenko ,Ivan Ljubicic ,2 ,1 ,4 ,6 ,7 , , ,6 ,4 ,6 , ,
AAPT Championships - Adelaide ,2003-01-01 ,Richard Gasquet ,Arnaud Di Pasquale ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Jan-Michael Gambill ,David Ferrer ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Jan-Michael Gambill ,Roger Federer ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Roger Federer ,Michel Kratochvil ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Fernando Vicente ,Markus Hantschk ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Fabrice Santoro ,Christophe Rochus ,2 ,1 ,7 ,6 ,7 , , ,5 ,7 ,5 , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Andreas Vinciguerra ,Albert Costa ,2 ,1 ,3 ,7 ,7 , , ,6 ,6 ,5 , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Younes El Aynaoui ,Hicham Arazi ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Mikhail Youzhny ,Radek Stepanek ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-01 ,Stefan Koubek ,Vladimir Voltchkov ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Tata Open 2003 - Chennai ,2003-01-01 ,Sargis Sargsian ,Albert Montanes ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Tata Open 2003 - Chennai ,2003-01-01 ,Tomas Behrend ,Albert Portas ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Tata Open 2003 - Chennai ,2003-01-01 ,Paradorn Srichaphan ,John van Lottum ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Tata Open 2003 - Chennai ,2003-01-01 ,Juan Ignacio Chela ,Zeljko Krajan ,1 ,0 ,3 ,6 ,2 , , ,6 ,3 ,0 , ,
AAPT Championships - Adelaide ,2003-01-02 ,Richard Krajicek ,Franco Squillari ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
AAPT Championships - Adelaide ,2003-01-02 ,Alberto Martin ,Richard Gasquet ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
AAPT Championships - Adelaide ,2003-01-02 ,Brian Vahaly ,Vince Spadea ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
AAPT Championships - Adelaide ,2003-01-02 ,Kristof Vliegen ,Arvind Parmar ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-02 ,Younes El Aynaoui ,Fabrice Santoro ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,3 , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-02 ,Mikhail Youzhny ,Fernando Vicente ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-02 ,Stefan Koubek ,Andreas Vinciguerra ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Tata Open 2003 - Chennai ,2003-01-02 ,Rainer Schuettler ,Mark Philippoussis ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Tata Open 2003 - Chennai ,2003-01-02 ,Guillermo Canas ,Jiri Vanek ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Tata Open 2003 - Chennai ,2003-01-02 ,Karol Kucera ,Cecil Mamiit ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,3 , ,
Tata Open 2003 - Chennai ,2003-01-02 ,Jean-Rene Lisnard ,Noam Okun ,2 ,1 ,6 ,2 ,6 , , ,0 ,6 ,2 , ,
AAPT Championships - Adelaide ,2003-01-03 ,Richard Krajicek ,Brian Vahaly ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
AAPT Championships - Adelaide ,2003-01-03 ,Adrian Voinea ,Antony Dupuis ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
AAPT Championships - Adelaide ,2003-01-03 ,Nikolay Davydenko ,Mariano Zabaleta ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
